Country Name,Tuberculosis treatment success rate (% of new cases),"Computer, communications and other services (% of commercial service exports)",Merchandise trade (% of GDP),Energy intensity level of primary energy (MJ/$2017 PPP GDP),"Inflation, consumer prices (annual %)","Electricity production from renewable sources, excluding hydroelectric (% of total)","Compulsory education, duration (years)",Adjusted savings: net forest depletion (% of GNI),Out-of-pocket expenditure (% of current health expenditure),"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",Adjusted savings: natural resources depletion (% of GNI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","Mortality rate attributed to unintentional poisoning (per 100,000 population)","Mortality rate, under-5 (per 1,000 live births)","Mortality caused by road traffic injury (per 100,000 population)",Prevalence of anemia among women of reproductive age (% of women ages 15-49),Fertilizer consumption (kilograms per hectare of arable land),"Immunization, measles (% of children ages 12-23 months)",Adjusted savings: consumption of fixed capital (% of GNI),"Suicide mortality rate (per 100,000 population)",Total greenhouse gas emissions excluding LULUCF (% change from 1990),Electricity production from nuclear sources (% of total),Adjusted savings: education expenditure (% of GNI),Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100),Electricity production from coal sources (% of total),Electricity production from oil sources (% of total),Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),Electricity production from natural gas sources (% of total),"Services, value added (annual % growth)",GDP per capita growth (annual %),"Industry (including construction), value added (annual % growth)",Livestock production index (2014-2016 = 100),"Death rate, crude (per 1,000 people)",Proportion of seats held by women in national parliaments (%),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",Renewable electricity output (% of total electricity output),Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),"Agriculture, forestry, and fishing, value added (annual % growth)",Crop production index (2014-2016 = 100),"Employers, total (% of total employment) (modeled ILO estimate)","Inflation, GDP deflator (annual %)",Political Stability and Absence of Violence/Terrorism: Estimate,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",Current health expenditure (% of GDP),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Adjusted savings: energy depletion (% of GNI)
Afghanistan,86.0,81.18855853059289,34.950594953068645,2.63,2.17853752389419,0.0183183733284484,9.0,0.292788387305452,78.9966507,100.0,100.0,0.3594540238480093,37.6,2.86,88.3,14.4,34.9,1.7778596176055437,62.0,8.39723646063771,3.59,114.439243408483,0.0,2.83706669158337,46.65625,0.0,18.24713520994891,20.0,0.0,18.355405421566573,11.055030552728766,6.27060133814976,98.06,8.402,27.710843373494,10.23,43.182,19.85569691252581,41.84,81.75286479005108,0.5072677658876363,-6.375134493649895,87.58,0.71460427300848,3.8146303154521055,-2.57915186882019,99.9746344313873,8.56967163,0.012,0.0666656365425573
Albania,89.0,26.37618006693121,49.2282921571006,2.78,3.62604695579816,0.0071353065539112,8.0,0.0666425167042147,59.96680832,100.0,96.8365990451871,0.7737077108413483,18.9,0.46,13.3,14.1,19.9,85.02392971246005,99.0,12.6371282050003,6.77,-29.973636355726484,0.0,3.11299225246887,70.0125,0.0,0.0132135306553911,60.0,0.0,2.5763597589837417,3.4856480864462185,0.991721653215194,89.69,6.055,16.4285714285714,15.85,47.426,73.25408618127786,29.72,99.99392177589851,0.4369826473535518,7.2549663984425905,82.74,1.56855101192687,4.127443891207989,-0.191482901573181,0.0,6.23667669,5.9,0.636859916766847
Algeria,89.0,62.94471505949195,54.8561298258352,4.49,3.91106195534028,-0.0024489438929461,10.0,0.0,28.88244247,100.0,100.0,16.208959580062462,15.2,0.64,28.1,22.3,30.8,15.795787789922688,95.0,6.10078792727082,2.61,36.44200858257632,0.0,4.4671956,51.8375,0.0,2.1078409935715223,40.0,97.51169808020292,5.810770149257266,2.7792190819471188,3.5143860058071112,79.63,4.678,7.7120822622108,19.246,39.174,20.266509235051025,24.53,0.378011982332619,0.7354725085312892,6.303473675506581,74.96,3.71030639910094,15.556918121837882,-1.25936758518219,22.7094420336726,4.64001417,0.44,16.1927720686715
Andorra,86.0,,,2.26,,11.26885536823425,10.0,,11.63836575,99.9566358235583,15.1565554804827,,,,4.6,,12.3,,99.0,,,,0.0,3.01,22.45625,0.0,0.0,40.0,0.0,-0.7431076763023015,1.889880843122825,-12.86479591836735,,6.266,35.7142857142857,,,,,100.0,,9.172661870503603,,,0.3743137581101194,1.27827215194702,0.0,7.67537737,10.78,
Angola,48.0,11.098767461176068,80.2654202149643,2.65,14.4696564932577,-0.31950816663608,6.0,0.432163347015003,19.34375572,100.0,100.0,33.12014036467391,24.8,1.16,119.8,25.8,46.5,8.229285714285714,62.0,7.7160734914401,6.89,117.91170945522852,0.0,3.57,64.375,0.0,32.04257661956322,40.0,3.303358414387961,6.468280400211498,0.4543240063552503,-0.0920533055329997,84.72,11.078,38.6363636363636,18.604,64.421,95.73490315229776,27.26,67.6379152138007,0.3134104126269404,8.694133438010638,86.14,3.09008406819568,32.27046912244123,-0.226182341575623,28.7776148226511,2.69509959,8.32,32.6879770176589
Antigua and Barbuda,33.0,5.0232339662453,42.13045636335629,4.78,3.37002540220148,0.0485348540920948,11.0,,24.68379784,100.0,100.0,,17.0,0.26,11.9,5.4,18.1,3.0,98.0,10.6958069782635,0.0,40.84449857896875,0.0,2.25,54.0,0.0,99.9514651459079,0.0,0.0,-5.315216934772565,-9.079453610136795,-25.42374973766404,105.53,5.767,10.5263157894737,,,,,0.0485348540920948,0.2022994429973372,10.86837793555435,101.15,,1.607416905644925,0.904999375343323,0.0,5.37907028,5.74,0.0
Argentina,45.0,43.33188134101394,29.5023394337096,3.26,,-4.997436813077808,13.0,0.0,26.78010178,99.4476413232427,50.1483523313364,2.574008692107096,17.3,0.55,14.4,12.8,20.2,39.158016056584856,95.0,10.998988137821,8.54,30.60378318999009,5.690592389794865,4.52,75.1125,2.035471967622902,13.264293933261914,60.0,44.43439273102408,7.089823508627148,8.968196728992822,8.804897490449548,91.9,7.625,38.5214007782101,9.221,55.544,65.04760345909378,19.459,28.633480141253028,0.3209552230327107,39.52397781733828,86.69,4.50820980219685,20.91512427204698,-0.0847978666424751,2.22690827077107,9.44546413,7.69,2.2420493502156
Armenia,82.0,18.06602348609944,51.769460754365625,3.9,8.17636138473952,0.1093822215375134,10.0,0.284005045030102,77.62413025,100.0,100.0,1.580880882588682,24.8,1.18,18.7,18.0,19.0,66.05484949832777,97.0,11.9973853499192,6.88,-71.19042134877675,38.36080727160684,2.85424148571429,62.14375,0.0,0.0,60.0,22.153751348020336,8.522912732746349,2.911586968161941,7.419340985145183,80.67,9.2,9.16030534351145,21.536,49.482,80.21133386408049,29.567,39.48698197504237,0.5049386951585682,-15.9057766287429,68.29,0.529578831884781,7.768715480676519,0.071855328977108,58.2342657258758,9.23538303,5.06,0.0
Australia,82.0,21.299058404857007,36.0601682575315,5.17,2.91834002677376,3.2529753305812923,11.0,0.0,19.74928665,32.9709729750069,18.9375155841204,2.655808511121403,9.9,0.15,4.8,6.5,6.9,77.03853624703274,94.0,16.6576704950227,12.13,31.35115911308357,0.0,5.08,63.40625,71.32481863049699,2.413510593245495,60.0,17.646174122638634,2.186686612026719,0.6420434864755009,3.111653758944371,85.88,6.5,24.6666666666667,5.381,62.066,80.99721156235334,11.32,8.61549665361888,0.3517966674602162,-0.736007303018198,85.64,5.06462925450787,1.1537724932859137,0.888859868049622,0.0,8.41878414,11.1,0.981467733267183
Austria,75.0,31.33847330246553,79.92477925324519,3.26,1.81353438995062,9.328759419637835,9.0,0.0484573591225784,18.60162735,98.4515418523421,52.0533754614002,0.1343467636250822,12.4,0.29,4.3,6.8,12.4,99.8064232292125,80.0,17.3593818142211,16.05,10.535290813003684,0.0,5.4,61.19375,9.42385558429873,1.7897311888426497,60.0,20.176301878303903,1.6989107401388424,1.5645333788081928,2.6737587691078915,97.13,9.2,27.8688524590164,4.679,56.953,80.60580563735802,10.788,67.755820492633,0.2050324734080339,-6.005558511921365,92.34,6.25235181211821,0.8913386949096491,1.15264821052551,0.0,10.22101879,12.23,0.0812464922746426
Azerbaijan,73.0,45.19810763355721,62.790479689155774,3.89,5.72687224669605,0.0063602351683591,9.0,0.0,60.27914047,100.0,99.9999999999652,20.697507369046267,27.5,0.71,37.7,11.4,36.1,9.954885621782283,89.0,5.7589511600062,2.76,-33.75121606084727,0.0,2.9,61.675,0.0,0.1229289150187065,50.0,81.4537680384821,7.538608426365442,3.5494556573481475,4.693274791266404,86.19,5.9,16.0,6.814,57.437,96.30673581805884,9.64,18.42431854623196,0.5550401586154721,-2.1850696585377136,86.57,12.0853863773511,13.827665595181116,-0.238546922802925,0.498857878857273,2.64634848,1.81,20.6300390038453
"Bahamas, The",69.0,7.782432263525408,34.49963152848324,2.53,1.34402738392836,0.0237400975408355,12.0,0.0156591214514199,27.59894562,100.0,98.9617480991338,0.0156591214514199,21.9,0.22,15.4,12.7,17.0,,94.0,7.49304173785918,3.83,21.837937103068334,0.0,3.8356,35.5125,0.0,99.97625990245916,40.0,0.0,0.5877075953443409,0.2488370375535424,15.03847050594544,95.46,7.322,12.1951219512195,14.744,62.179,84.1364853260595,22.463,0.0237400975408355,0.113873919962245,1.1949215832710962,91.47,0.889137456770114,-0.3925655656247926,0.993692219257355,0.0,5.25594234,4.33,0.0
Bahrain,96.0,27.51146572846642,101.58552641369972,9.59,1.96188468334623,0.0050369375419744,9.0,0.0007509067193193,26.74535942,100.0,100.0,21.38243900981512,19.5,0.25,8.6,10.8,40.4,1336.0825242718447,99.0,6.24267117630789,5.6,66.14797103194398,0.0,2.735,37.89375,0.0,0.0,30.0,100.0,6.297067566004927,0.0771669589062469,2.3439731234987,24.39,2.077,2.5,3.682,70.934,50.14840891834059,16.84,0.0050369375419744,1.0561131383614306,-8.547823323800444,88.39,1.5972002294224,12.006950909995282,-0.493476390838623,100.0,4.08934975,2.35,21.3816881030958
