Position,Country_2000,q_2000,Country_2010,q_2010,Country_2020,q_2020
1,Sweden,0.5105,Sweden,0.5319,Sweden,0.5235
2,Iceland,0.4964,Norway,0.5137,Norway,0.5148
3,Norway,0.4667,Iceland,0.4826,Switzerland,0.4946
4,Finland,0.4412,Canada,0.4662,New Zealand,0.4784
5,Switzerland,0.4183,Finland,0.4579,Finland,0.4757
6,Canada,0.4064,Switzerland,0.456,Canada,0.45
7,United States,0.3874,New Zealand,0.4508,Austria,0.4441
8,New Zealand,0.3827,Uruguay,0.4259,Denmark,0.4436
9,Denmark,0.3737,Costa Rica,0.4104,France,0.4325
10,Australia,0.3611,Portugal,0.4041,Netherlands,0.4309
11,Netherlands,0.3593,Denmark,0.3977,United Kingdom,0.428
12,Austria,0.3578,United States,0.3904,Uruguay,0.4275
13,France,0.3573,Germany,0.3799,Iceland,0.4272
14,Costa Rica,0.3561,Belgium,0.3792,Luxembourg,0.4248
15,Germany,0.3554,Netherlands,0.3785,Portugal,0.4248
16,Portugal,0.3503,Spain,0.3778,Germany,0.4204
17,Honduras,0.3469,France,0.3771,Costa Rica,0.4166
18,United Kingdom,0.3421,Austria,0.3755,Belgium,0.4161
19,"Micronesia, Fed. Sts.",0.3414,Australia,0.3738,Spain,0.4141
20,Uruguay,0.3379,Andorra,0.3587,United States,0.4013
21,Monaco,0.3373,United Kingdom,0.3561,Australia,0.3909
22,Luxembourg,0.337,Ireland,0.3534,Ireland,0.3662
23,Ireland,0.3343,Paraguay,0.3427,Estonia,0.3655
24,Panama,0.3335,Brazil,0.3415,Slovenia,0.3655
25,Belgium,0.3317,Panama,0.341,Paraguay,0.3612
26,Paraguay,0.3263,Argentina,0.3357,San Marino,0.3605
27,Brazil,0.324,El Salvador,0.3341,El Salvador,0.3515
28,Fiji,0.3206,Slovenia,0.3296,Malta,0.3478
29,Japan,0.3141,Honduras,0.3264,Monaco,0.3468
30,Brunei Darussalam,0.3139,Brunei Darussalam,0.317,Slovak Republic,0.3466
31,Peru,0.3137,Singapore,0.3158,Nicaragua,0.3436
32,Spain,0.3134,Luxembourg,0.3154,Japan,0.3428
33,Samoa,0.3095,Japan,0.3144,Latvia,0.3406
34,El Salvador,0.3044,Slovak Republic,0.3117,Brazil,0.3391
35,Kiribati,0.2977,Estonia,0.311,Czechia,0.3389
36,Slovenia,0.2955,Bolivia,0.309,Lithuania,0.3348
37,Timor-Leste,0.2911,Italy,0.309,Brunei Darussalam,0.3303
38,Bolivia,0.2883,Mozambique,0.3086,Tonga,0.3297
39,Viet Nam,0.2859,Peru,0.3049,Italy,0.3294
40,Guatemala,0.2839,Kyrgyz Republic,0.3002,Israel,0.3273
41,Argentina,0.2838,Namibia,0.2987,Andorra,0.3254
42,Tonga,0.2831,Nicaragua,0.2985,Albania,0.3187
43,Philippines,0.2827,San Marino,0.2976,Hungary,0.3179
44,Andorra,0.2821,Ecuador,0.2972,Ecuador,0.3133
45,Malta,0.2786,Colombia,0.2971,Bhutan,0.3127
46,"Venezuela, RB",0.2776,Guatemala,0.2954,Panama,0.3106
47,Albania,0.2767,Bhutan,0.2952,Peru,0.3103
48,Ecuador,0.273,Kiribati,0.2928,Malawi,0.3091
49,Chile,0.2713,Monaco,0.2881,Honduras,0.3068
50,Israel,0.2702,Albania,0.2878,Singapore,0.3067
51,Solomon Islands,0.2683,Chile,0.2872,Croatia,0.3059
52,Bhutan,0.2676,Malawi,0.2865,Colombia,0.305
53,Papua New Guinea,0.2656,Israel,0.2858,Guatemala,0.3004
54,Estonia,0.2644,Tonga,0.2794,Argentina,0.299
55,Kyrgyz Republic,0.263,Fiji,0.2789,Poland,0.2989
56,Colombia,0.2629,Cuba,0.2752,Kiribati,0.2981
