Position,Country_2000,q_2000,Country_2010,q_2010,Country_2020,q_2020
1,Sweden,0.5124,Sweden,0.5319,Sweden,0.5843
2,Iceland,0.4966,Norway,0.5137,Norway,0.5751
3,Norway,0.4631,Iceland,0.4826,Switzerland,0.5537
4,Finland,0.4345,Canada,0.4662,New Zealand,0.5365
5,Switzerland,0.4087,Finland,0.4579,Finland,0.5337
6,Canada,0.3954,Switzerland,0.456,Canada,0.5065
7,United States,0.3739,New Zealand,0.4508,Austria,0.5002
8,New Zealand,0.3687,Uruguay,0.4259,Denmark,0.4997
9,Denmark,0.3585,Costa Rica,0.4104,France,0.4879
10,Australia,0.3443,Portugal,0.4041,Netherlands,0.4862
11,Netherlands,0.3424,Denmark,0.3977,United Kingdom,0.4831
12,Austria,0.3407,United States,0.3904,Uruguay,0.4826
13,France,0.3401,Germany,0.3799,Iceland,0.4822
14,Costa Rica,0.3388,Belgium,0.3792,Luxembourg,0.4798
15,Germany,0.338,Netherlands,0.3785,Portugal,0.4798
16,Portugal,0.3323,Spain,0.3778,Germany,0.475
17,Honduras,0.3284,France,0.3771,Costa Rica,0.471
18,United Kingdom,0.323,Austria,0.3755,Belgium,0.4705
19,"Micronesia, Fed. Sts.",0.3223,Australia,0.3738,Spain,0.4684
20,Uruguay,0.3182,Andorra,0.3587,United States,0.4548
21,Monaco,0.3176,United Kingdom,0.3561,Australia,0.4438
22,Luxembourg,0.3173,Ireland,0.3534,Ireland,0.4176
23,Ireland,0.3143,Paraguay,0.3427,Estonia,0.4169
24,Panama,0.3134,Brazil,0.3415,Slovenia,0.4169
25,Belgium,0.3113,Panama,0.341,Paraguay,0.4124
26,Paraguay,0.3053,Argentina,0.3357,San Marino,0.4116
27,Brazil,0.3026,El Salvador,0.3341,El Salvador,0.402
28,Fiji,0.2988,Slovenia,0.3296,Malta,0.3981
29,Japan,0.2915,Honduras,0.3264,Monaco,0.3971
30,Brunei Darussalam,0.2912,Brunei Darussalam,0.317,Slovak Republic,0.3969
31,Peru,0.2911,Singapore,0.3158,Nicaragua,0.3937
32,Spain,0.2907,Luxembourg,0.3154,Japan,0.3928
33,Samoa,0.2864,Japan,0.3144,Latvia,0.3905
34,El Salvador,0.2806,Slovak Republic,0.3117,Brazil,0.3889
35,Kiribati,0.273,Estonia,0.311,Czechia,0.3887
36,Slovenia,0.2706,Bolivia,0.309,Lithuania,0.3844
37,Timor-Leste,0.2656,Italy,0.309,Brunei Darussalam,0.3796
38,Bolivia,0.2624,Mozambique,0.3086,Tonga,0.379
39,Viet Nam,0.2598,Peru,0.3049,Italy,0.3786
40,Guatemala,0.2575,Kyrgyz Republic,0.3002,Israel,0.3765
41,Argentina,0.2574,Namibia,0.2987,Andorra,0.3744
42,Tonga,0.2566,Nicaragua,0.2985,Albania,0.3673
43,Philippines,0.2562,San Marino,0.2976,Hungary,0.3665
44,Andorra,0.2555,Ecuador,0.2972,Ecuador,0.3615
45,Malta,0.2516,Colombia,0.2971,Bhutan,0.3609
46,"Venezuela, RB",0.2505,Guatemala,0.2954,Panama,0.3587
47,Albania,0.2494,Bhutan,0.2952,Peru,0.3584
48,Ecuador,0.2453,Kiribati,0.2928,Malawi,0.3572
49,Chile,0.2434,Monaco,0.2881,Honduras,0.3547
50,Israel,0.2421,Albania,0.2878,Singapore,0.3545
51,Solomon Islands,0.24,Chile,0.2872,Croatia,0.3537
52,Bhutan,0.2392,Malawi,0.2865,Colombia,0.3528
53,Papua New Guinea,0.2369,Israel,0.2858,Guatemala,0.3479
54,Estonia,0.2355,Tonga,0.2794,Argentina,0.3464
55,Kyrgyz Republic,0.234,Fiji,0.2789,Poland,0.3463
56,Colombia,0.2339,Cuba,0.2752,Kiribati,0.3455
57,Lithuania,0.2317,"Micronesia, Fed. Sts.",0.2731,Bolivia,0.3419
58,Hungary,0.2308,Croatia,0.2721,United Arab Emirates,0.3402
59,Vanuatu,0.2306,Czechia,0.2694,Namibia,0.3398
60,Slovak Republic,0.2289,Malta,0.2691,Kyrgyz Republic,0.3397
61,Namibia,0.2268,"Korea, Rep.",0.2673,Nauru,0.3368
62,Cyprus,0.2228,Hungary,0.2648,Kenya,0.3345
63,Marshall Islands,0.2224,Samoa,0.2643,"Korea, Rep.",0.3341
64,Czechia,0.219,Solomon Islands,0.2643,Chile,0.3308
65,Barbados,0.2188,Philippines,0.2628,Bulgaria,0.3292
66,Italy,0.2122,Viet Nam,0.2625,Romania,0.3261
67,Maldives,0.2107,Ghana,0.2624,Mexico,0.3258
68,Dominica,0.2102,Kenya,0.2623,Timor-Leste,0.3172
69,Tuvalu,0.2088,"Venezuela, RB",0.2552,Cyprus,0.314
70,"Korea, Rep.",0.2085,Marshall Islands,0.2543,Solomon Islands,0.3114
71,Madagascar,0.2066,Mexico,0.2524,Indonesia,0.3097
72,Bulgaria,0.2041,Mauritius,0.2521,Viet Nam,0.309
73,Mauritius,0.2025,Tanzania,0.25,Cuba,0.3076
74,Mozambique,0.2022,Ethiopia,0.2495,Belize,0.3056
75,Cuba,0.2007,Bulgaria,0.2463,Greece,0.3044
76,Jamaica,0.2006,Dominican Republic,0.2438,Samoa,0.3039
77,Mexico,0.2002,Zambia,0.2435,Philippines,0.3032
78,St. Vincent and the Grenadines,0.2001,Romania,0.2413,Zambia,0.3029
79,Croatia,0.1992,Timor-Leste,0.2395,Kazakhstan,0.3001
80,Nicaragua,0.1985,Papua New Guinea,0.2376,Maldives,0.2993
81,Kenya,0.1947,Tuvalu,0.2366,Serbia,0.2974
82,"Bahamas, The",0.1928,Lesotho,0.2344,Mozambique,0.2958
83,Malawi,0.1892,Montenegro,0.2339,Sri Lanka,0.2949
84,Lesotho,0.1863,Azerbaijan,0.2321,Fiji,0.2947
85,Malaysia,0.1852,Cyprus,0.2294,North Macedonia,0.2916
86,Tanzania,0.1838,Belize,0.2275,Ghana,0.2883
87,Antigua and Barbuda,0.1825,Latvia,0.2267,Papua New Guinea,0.2876
88,Belize,0.1811,Vanuatu,0.2259,Georgia,0.2835
89,Thailand,0.1802,Greece,0.2248,Cambodia,0.2831
90,Latvia,0.1799,Sri Lanka,0.223,Uganda,0.2813
91,Suriname,0.1795,Barbados,0.2221,Marshall Islands,0.2795
92,"Korea, Dem. People's Rep.",0.178,Madagascar,0.2188,Tajikistan,0.2758
93,Ghana,0.1742,Poland,0.2187,Thailand,0.2758
94,Singapore,0.1731,Lao PDR,0.2143,Armenia,0.2749
95,Grenada,0.1706,Thailand,0.2139,Belarus,0.2736
96,Lao PDR,0.1703,Cambodia,0.2128,Ukraine,0.2722
97,Greece,0.1702,"Korea, Dem. People's Rep.",0.2127,Jamaica,0.2708
98,Dominican Republic,0.1699,Rwanda,0.212,Russian Federation,0.2697
99,San Marino,0.1696,Jamaica,0.2103,Azerbaijan,0.2694
100,Eswatini,0.1677,Burundi,0.2099,Rwanda,0.2694
101,Georgia,0.1651,"Bahamas, The",0.2094,Dominican Republic,0.2691
102,Cambodia,0.159,Indonesia,0.2081,"Micronesia, Fed. Sts.",0.2678
103,Indonesia,0.1587,Maldives,0.2076,Tuvalu,0.2655
104,China,0.1577,North Macedonia,0.2068,Lao PDR,0.265
105,Seychelles,0.1571,Nauru,0.2051,Mauritius,0.2638
106,Ethiopia,0.1562,Mali,0.2041,Burundi,0.2607
107,Armenia,0.1555,Sao Tome and Principe,0.2033,Ethiopia,0.2606
108,Romania,0.1526,Sierra Leone,0.2028,Tanzania,0.2592
109,Sri Lanka,0.1519,Lithuania,0.202,Malaysia,0.2591
110,Serbia,0.1506,Serbia,0.2013,Grenada,0.2575
